"This is not a Christmas greeting", "This is not a Christmas greeting"
"An error occurred while spinning the wheel.", "An error occurred while spinning the wheel."
"coupon code", "Coupon Code"
"Your coupon code is: ", "Your coupon code is: "
"Sorry, but you didn't win a coupon.", "Sorry, but you didn't win a coupon."
"Spin the wheel", "Spin the wheel"
"Submit", "Submit"
"Please fill out the form before spinning the wheel.", "Please fill out the form before spinning the wheel."
"Invalid form submission", "Invalid form submission"
"Error", "Error"
"Processing your request", "Processing your request"
"Congratulations, you've won a coupon!", "Congratulations, you've won a coupon!"
"Please try again later", "Please try again later"
"Network error, please try again.", "Network error, please try again."
"Please enter a valid text", "Please enter a valid text"
"Error processing result:", "Error processing result:"
"Your wish has been submitted successfully!", "Your wish has been submitted successfully!"
"Congratulations!", "Congratulations!"
"Your coupon code is:", "Your coupon code is:"
"Maybe next time", "Maybe next time"
"Write a Christmas wish and spin the wheel", "Write a Christmas wish and spin the wheel"
"Type your wish here...", "Type your wish here..."
"Send and claim", "Send and claim"
"Please log in to participate", "Please log in to participate"
"Log in here", "Log in here"
"Share your Christmas wish and unlock a special discount!", "Share your Christmas wish and unlock a special discount!"
"Make a Wish", "Make a Wish"
"Close Christmas Wish", "Close Christmas Wish"
